Type,Ressort,RG,OBJET,ligne objet,NORME,ligne norme,QUANTUM,ligne quantum,POSITION,ligne position,RESULTAT,ligne contenant un résultat,QUANTUM RESULTAT (obtenu),ligne quantum.1,count
CA,Paris,15/03536,dommages-intérêts,"145-148,390",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"4 500,00 €",,,,rejette,"391,392,415","0,00 €",,119
CA,Bastia,14/00516,dommages-intérêts,186-190,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 500,00 €",,,,rejette,"310,311,339","0,00 €",,120
CA,Riom,15/00072,dommages-intérêts,"108,109,320",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"100,00 €",,,,rejette,321-323,"0,00 €",,121
CA,Dijon,15/00876,dommages-intérêts,181-183,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"320-334,353,354","0,00 €",,122
CA,Dijon,15/00876,amende civile,178-180,32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"3 000,00 €",,,,rejette,"309-319,352","0,00 €",,122
CA,Dijon,15/01045,amende civile,"159,160",32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"3 000,00 €",,,,rejette,"225-237,269-277","0,00 €",,123
CA,Dijon,15/01045,dommages-intérêts,"161,162",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"238-257,278,279,282,283","0,00 €",,123
CA,Colmar,14/03894,dommages-intérêts,"137,138",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"258-265,276-283","0,00 €",,124
CA,Versailles,14/04509,dommages-intérêts,"99,171,172",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"25 000,00 €",,,,rejette,"291,304","0,00 €",,125
CA,Paris,13/03074,dommages-intérêts,"217-219,247-249,257-259",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,rejette,378-383,"0,00 €",,126
CA,Versailles,14/05930,dommages-intérêts,"134,135,259-262",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,259-273,"0,00 €",,127
CA,Douai,15/02878,dommages-intérêts,"162,163,505-509",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,"510-515,568,569","0,00 €",,128
CA,Douai,15/02878,dommages-intérêts,"212,213,505",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"6 000,00 €",,,,rejette,"516-518,566,567","0,00 €",,128
CA,Amiens,13/06763,dommages-intérêts,"439,440",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"280 000,00 €",,,,rejette,"498,499","0,00 €",,129
CA,Amiens,13/06763,dommages-intérêts,"187,188",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"100 000,00 €",,,,rejette,"496,497","0,00 €",,129
CA,Douai,12/06612,dommages-intérêts,"189,190,197-209,309,310-312",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"400 000,00 €",,,,rejette,"313-338,371,372","0,00 €",,130
CA,Lyon,15/05657,dommages-intérêts,"75,76,88,89",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"175-177,189","0,00 €",,131
CA,Poitiers,15/00108,dommages-intérêts,"154,155,282,283",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,accepte,"282-296,312,313","1 000,00 €",,132
CA,Montpellier,13/01525,dommages-intérêts,"135,136",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,"241-244,255","0,00 €",,133
CA,Montpellier,14/07981,dommages-intérêts,"124,125,126",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,rejette,127-129,"0,00 €",,134
CA,Saint Denis,14/01082,dommages-intérêts,201,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,367-370,"0,00 €",,135
CA,Colmar,14/03339,dommages-intérêts,"137,138",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"20 000,00 €",,,,rejette,239-241,"0,00 €",,136
CA,Grenoble,15/03185,dommages-intérêts,"85,86",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,"119,120","0,00 €",,137
CA,AGEN,14/00166,dommages-intérêts,"238,239,444",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 500,00 €",,,,rejette,"445-450,466","0,00 €",,138
CA,Nancy,14/01567,dommages-intérêts,"106,107",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"20 000,00 €",,,,rejette,300-302,"0,00 €",,139
CA,Colmar,16/00048,dommages-intérêts,?,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,accepte,"109-111,118,119","500,00 €",,140
CA,Poitiers,15/03180,dommages-intérêts,"115,116",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1,00 €",,,,rejette,"342,343,359","0,00 €",,141
CA,Reims,15/01362,dommages-intérêts,"164,165",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,-,,,,rejette,"242,243,266","0,00 €",,142
CA,Nancy,15/01074,dommages-intérêts,"186,187",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,"314-316,328","0,00 €",,143
CA,Reims,15/01135,dommages-intérêts,"159,160,364",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"365-368,391,392","0,00 €",,144
CA,Aix,15/02599,dommages-intérêts,"200,201",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,"344-350,364-366","0,00 €",,145
CA,Toulouse,14/05245,dommages-intérêts,"170,171",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,283-287,"0,00 €",,146
CA,Bordeaux,13/07344,dommages-intérêts,"101,102",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,"22-225,237,238","0,00 €",,147
CA,Aix,15/13457,dommages-intérêts,"72,73",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 000,00 €",,,,rejette,"119-122,132","0,00 €",,148
CA,Bordeaux,14/00529,dommages-intérêts,"192-194,280-284",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"6 000,00 €",,,,accepte,"305-307,325,326","3 000,00 €",,149
CA,Toulouse,14/05735,dommages-intérêts,"118,119,188,189",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,"229,230","0,00 €",,150
CA,Douai,15/01359,dommages-intérêts,"153,154",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,-,,,,rejette,"205-211,233","0,00 €",,151
CA,Toulouse,15/05908,dommages-intérêts,156-158,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,233-235,"0,00 €",,152
CA,Montpellier,14/01948,dommages-intérêts,119-121,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,-,,,,rejette,"167,168","0,00 €",,153
CA,Versailles,14/04375,dommages-intérêts,"112,113",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 500,00 €",,,,rejette,"375-379,385,386","0,00 €",,154
CA,Douai,15/01965,dommages-intérêts,"125,126",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,"205,208,228,229","0,00 €",,155
CA,Aix,14/01254,dommages-intérêts,"218,219",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"4 000,00 €",,,,rejette,?,"0,00 €",,156
CA,Montpellier,14/07024,dommages-intérêts,235-239,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"20 000,00 €",,,,rejette,"453-458,472","0,00 €",,157
CA,Aix,14/16771,dommages-intérêts,"151,152",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"252-259,","0,00 €",,158
CA,Aix,14/16771,amende civile,148,32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,-,,,,rejette,257-259,"0,00 €",,158
CA,Douai,15/01137,dommages-intérêts,153-154,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,482-484,"0,00 €",,159
CA,Nimes,16/01140,dommages-intérêts,102-103,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 500,00 €",,,,rejette,163-164;174,"0,00 €",,160
CA,Nimes,16/01140,amende civile,102,32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,sans objet,,,,rejette,163/164;174,"0,00 €",,160
CA,Douai,15/01448,dommages-intérêts,154-156,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,231-239;261-262,"0,00 €",,161
CA,Lyon,14/00601,dommages-intérêts,99-100,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,230-235,"0,00 €",,162
CA,Versailles,15/00584,dommages-intérêts,207-208,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"20 000,00 €",,,,rejette,204-212,"0,00 €",,163
CA,Montpellier,15/07717,dommages-intérêts,95-96,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,sursis à statuer,161,sans objet,,164
CA,Montpellier,15/07717,dommages-intérêts,98-99,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,sursis à statuer,161,sans objet,,164
CA,Rennes,13/00948,dommages-intérêts,161-162,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"25 000,00 €",,,,rejette,260-263,"0,00 €",,165
CA,Bordeaux,15/01694,dommages-intérêts,125-126,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,397-400,"0,00 €",,166
CA,Aix,15/11164,dommages-intérêts,"106-107,197-198",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,247-253,"0,00 €",,167
CA,Lyon,1501534,dommages-intérêts,"163-164,191-195",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"20 000,00 €",,,,rejette,?,"0,00 €",,168
CA,Nimes,15/03467,dommages-intérêts,167-169,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,266-267,"0,00 €",,169
CA,Rennes,15/03179,dommages-intérêts,131-135,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,187-190,"0,00 €",,170
CA,Paris,15/07345,dommages-intérêts,"71-73,112-113",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 000,00 €",,,,rejette,240-241,"0,00 €",,171
CA,Aix,15/00654,dommages-intérêts,"108,171-173",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,171-173,"0,00 €",,172
CA,Paris,14/22106,dommages-intérêts,172-174,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,rejette,709-712,"0,00 €",,173
CA,Paris,15/07360,dommages-intérêts,85-86,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,217-218,"0,00 €",,174
CA,Paris,15/09795,dommages-intérêts,93-94,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,275-278,"0,00 €",,175
CA,Aix,14/21607,dommages-intérêts,86-87,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,212-213,"0,00 €",,176
CA,Aix,14/24203,dommages-intérêts,195-196,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 500,00 €",,,,rejette,354-360,"0,00 €",,177
CA,Paris,15/11338,dommages-intérêts,114-115,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,rejette,258-263,"0,00 €",,178
CA,Aix,15/03041,dommages-intérêts,87-88,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,170-177,"0,00 €",,179
CA,Aix,15/01358,dommages-intérêts,175-176,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"15 000,00 €",,,,rejette,?,"0,00 €",,180
CA,Aix,13/17574,dommages-intérêts,"141-142,182-184",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,297-301,"0,00 €",,181
CA,Aix,15/00970,dommages-intérêts,106-107,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,88-89;202-203,"0,00 €",,182
CA,Paris,15/07035,dommages-intérêts,"104-105,113-114",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 500,00 €",,,,rejette,211-216,"0,00 €",,183
CA,Paris,14/12225,dommages-intérêts,158-159,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"30 000,00 €",,,,rejette,354-361,"0,00 €",,184
CA,Aix,13/15756,dommages-intérêts,"488-489,544",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,rejette,601;605-606,"0,00 €",,185
CA,Aix,14/21243,dommages-intérêts,112-113,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,211-213,"0,00 €",,186
CA,Aix,15/04199,dommages-intérêts,151-152,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,220-223,"0,00 €",,187
CA,Nancy,15/01778,dommages-intérêts,"65-67,69-72",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"500,00 €",,,,rejette,471-477,"0,00 €",,188
CA,Rouen,15/03362,dommages-intérêts,?,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,191-203,"0,00 €",,189
CA,Rouen,10/02749,dommages-intérêts,247-252,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"15 000,00 €",,,,rejette,743-749,"0,00 €",,190
CA,FORT DE France,14/00783,dommages-intérêts,103-104,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,160-163,"0,00 €",,191
CA,Lyon,10/04609,dommages-intérêts,"108-110,133-134",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 500,00 €",,,,accepte,"286-295,341-344","500,00 €",,192
CA,Lyon,10/04609,dommages-intérêts,140-141,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 500,00 €",,,,accepte,"296-318,345-348","500,00 €",,192
CA,Rouen,06/03250,dommages-intérêts,86-87,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"300,00 €",,,,rejette,149-151,"0,00 €",,193
CA,Rouen,15/04583,dommages-intérêts,102-103,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"200,00 €",,,,rejette,149-151,"0,00 €",,194
CA,Rouen,15/04583,dommages-intérêts,105-106,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"500,00 €",,,,rejette,149-151,"0,00 €",,194
CA,FORT DE France,14/00518,amende civile,129,32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"3 000,00 €",,,,rejette,197/202,"0,00 €",,195
CA,FORT DE France,14/00518,dommages-intérêts,131,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"4 000,00 €",,,,rejette,197-202,"0,00 €",,195
CA,Nancy,13/01512,dommages-intérêts,309-310,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,309-310,"0,00 €",,196
CA,Nancy,11/02026,dommages-intérêts,81-83,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 500,00 €",,,,rejette,261-262,"0,00 €",,197
CA,Nancy,10/03421,dommages-intérêts,153-154,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,274-276,"0,00 €",,198
CA,Rennes,08/06440,dommages-intérêts,72-73,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"500,00 €",,,,accepte,"135-151,163-164","500,00 €",,199
CA,Rouen,09/01242,dommages-intérêts,83-84,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,?,"0,00 €",,200
CA,Lyon,14/06777,dommages-intérêts,103-104,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"400,00 €",,,,rejette,203-209,"0,00 €",,201
CA,Versailles,14/08814,dommages-intérêts,186-187,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,254-262,"0,00 €",,202
CA,Paris,14/21358,dommages-intérêts,399-402,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,399-402,"0,00 €",,203
CA,FORT DE France,14/00091,dommages-intérêts,204-206,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"15 000,00 €",,,,rejette,341-343,"0,00 €",,204
CA,Amiens,13/03996,dommages-intérêts,298-301,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,302-309,"0,00 €",,205
CA,Douai,15/00025,dommages-intérêts,184-185,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 500,00 €",,,,rejette,327-331,"0,00 €",,206
CA,Orléans,13/02412,dommages-intérêts,117-118,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,220-221,"0,00 €",,207
CA,Bastia,12/00908,dommages-intérêts,187-190,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"4 000,00 €",,,,rejette,447-448,"0,00 €",,208
CA,Besançon,13/00062,dommages-intérêts,74-75,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"500,00 €",,,,rejette,"293-295,309-312","0,00 €",,209
CA,Versailles,13/01265,dommages-intérêts,216,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,434-444,"0,00 €",,210
CA,Nancy,13/01291,dommages-intérêts,161-164,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,275-286,"0,00 €",,211
CA,Paris,11/13936,dommages-intérêts,"119-122,158",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,accepte,158-169,"3 000,00 €",,212
CA,Toulouse,12/00698,dommages-intérêts,89-90,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"100,00 €",,,,rejette,185-187,"0,00 €",,213
CA,Colmar,12/00326,dommages-intérêts,337-341,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,337-341,"0,00 €",,214
CA,Nimes,10/03715,dommages-intérêts,328,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"200 000,00 €",,,,rejette,540-548,"0,00 €",,215
CA,Paris,09/28204,dommages-intérêts,109-110,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,197-213,"0,00 €",,216
CA,Bordeaux,11/04452,dommages-intérêts,158-164,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,177-184,"0,00 €",,217
CA,Lyon,10/04941,dommages-intérêts,171-176,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,193-195,"0,00 €",,218
CA,Rennes,10/00727,dommages-intérêts,?,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,364-376,"0,00 €",,219
CA,Versailles,10/04368,dommages-intérêts,126-127,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,rejette,272-274,"0,00 €",,220
CA,Rennes,09/02347,dommages-intérêts,?,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,"523,533-534","0,00 €",,221
CA,Toulouse,09/00864,dommages-intérêts,192-194,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"20 000,00 €",,,,rejette,"478-486,492,499-500","0,00 €",,222
CA,Orléans,09/02033,dommages-intérêts,120,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 500,00 €",,,,accepte,"294-305,312-313","1 500,00 €",,223
CA,PAU,09/03038,dommages-intérêts,220-221,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"403-409,430-431","0,00 €",,224
CA,LIMOGES,09/00925,dommages-intérêts,139-145,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 500,00 €",,,,accepte,158-160,"2 500,00 €",,225
CA,PAU,09/03154,dommages-intérêts,221-223,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,248-249,"0,00 €",,226
CA,Aix,10/00449,dommages-intérêts,80-83,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,92-93,"0,00 €",,227
CA,Aix,10/1098,dommages-intérêts,231-232,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,rejette,231-232,"0,00 €",,228
CA,Aix,10/00314,dommages-intérêts,84-87,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,96-97,"0,00 €",,229
CA,Aix,09/00518,dommages-intérêts,69-72,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,90-91,"0,00 €",,230
CA,AGEN,07/01248,dommages-intérêts,251,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,251,"0,00 €",,231
CA,Rouen,07/04073,dommages-intérêts,137-138,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 000,00 €",,,,rejette,194-200,"0,00 €",,232
CA,Orléans,07/00719,dommages-intérêts,143-144,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,160-161,"0,00 €",,233
CA,Toulouse,06/03474,dommages-intérêts,432,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,432,"0,00 €",,234
CA,Aix,07/00374,dommages-intérêts,90-91,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,136-137,"0,00 €",,235
CA,Versailles,05/08226,dommages-intérêts,122-123,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,rejette,"273-276,286","0,00 €",,236
CA,Douai,06/04263,dommages-intérêts,93-95,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"800,00 €",,,,rejette,"146-149,179","0,00 €",,237
CA,Montpellier,05/04107,dommages-intérêts,524-525,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,rejette,550-551,"0,00 €",,238
CA,Toulouse,16/00824,ordonner une expertise,,145 CPC,,,,,,,,,,0
CA,Rouen,15/03863,injonction sous astreinte,97-99,principe de responsabilité pour trouble anormal de voisinage,,,,,,,,,,0
CA,Rouen,15/03863,injonction sous astreinte,100-102,principe de responsabilité pour trouble anormal de voisinage,,,,,,,,,,0
CA,Rouen,15/03863,dommages-intérêts,122-126,principe de responsabilité pour trouble anormal de voisinage,,"6 000,00 €",,,,accepte,308-310;389-392,"5 000,00 €",,239
CA,Nancy,15/02212,dommages-intérêts,85-86,principe de responsabilité pour trouble anormal de voisinage,,"8 000,00 €",,,,accepte,"190-192,221-222","3 000,00 €",,240
CA,Grenoble,13/02211,dommages-intérêts,252-253,principe de responsabilité pour trouble anormal de voisinage,,"127 143,66 €",,,,accepte,446-453,"22 000,00 €",,241
CA,Douai,15/05561,dommages-intérêts,86-87,principe de responsabilité pour trouble anormal de voisinage,,"8 905,00 €",,,,accepte,"146-155,175-176","8 905,00 €",,242
CA,Douai,15/05561,dommages-intérêts,88,principe de responsabilité pour trouble anormal de voisinage,,"4 519,62 €",,,,accepte,"156-160,175-176","4 519,62 €",,242
CA,Poitiers,15/03293,dommages-intérêts,102-105,principe de responsabilité pour trouble anormal de voisinage,,"50 000,00 €",,,,rejette,169-174,"0,00 €",,243
CA,Lyon,14/02898,dommages-intérêts,352-353,principe de responsabilité pour trouble anormal de voisinage,,"15 000,00 €",,,,rejette,"380-382,411-412","0,00 €",,244
CA,Chambéry,15/00739,dommages-intérêts,"47-51,60-64",principe de responsabilité pour trouble anormal de voisinage,,"200 000,00 €",,,,rejette,"192,224","0,00 €",,245
CA,Versailles,13/03488,dommages-intérêts,186-192,principe de responsabilité pour trouble anormal de voisinage,,"45 000,00 €",,,,accepte,429-431,"10 000,00 €",,246
CA,Montpellier,13/03332,injonction sous astreinte,145-152,principe de responsabilité pour trouble anormal de voisinage,,sans objet,,,,rejette,151-152,sans objet,,247
CA,Grenoble,13/02073,injonction sous astreinte,228-249,principe de responsabilité pour trouble anormal de voisinage,,sans objet,,,,rejette,248-249,sans objet,,248
CA,Montpellier,13/02445,dommages-intérêts,192-199,principe de responsabilité pour trouble anormal de voisinage,,?,,,,rejette,198-199,"0,00 €",,249
CA,Saint Denis,14/01458,dommages-intérêts,312-313,principe de responsabilité pour trouble anormal de voisinage,,"20 000,00 €",,,,rejette,324-325,"0,00 €",,250
CA,Chambéry,15/02228,expertise,,145 CPC,,,,,,,,,,0
CA,Chambéry,15/01372,dommages-intérêts,52-60,principe de responsabilité pour trouble anormal de voisinage,,"17 000,00 €",,,,accepte,228-229,"5 000,00 €",,251
CA,Amiens,14/03924,dommages-intérêts,73-74,principe de responsabilité pour trouble anormal de voisinage,,"15 000,00 €",,,,rejette,137-138,"0,00 €",,252
CA,Colmar,14/01005,dommages-intérêts,70-72,principe de responsabilité pour trouble anormal de voisinage,,"17 225,49 €",,,,accepte,206-210,"10 635,56 €",,253
CA,Amiens,15/00725,dommages-intérêts,106-107,principe de responsabilité pour trouble anormal de voisinage,,"5 000,00 €",,,,rejette,255-260,"0,00 €",,254
CA,Douai,15/00903,dommages-intérêts,104-116,principe de responsabilité pour trouble anormal de voisinage,,"5 000,00 €",,,,accepte,185-187,"2 857,50 €",,255
CA,Douai,15/01035,dommages-intérêts,"55-56,78-83",principe de responsabilité pour trouble anormal de voisinage,,"5 000,00 €",,,,accepte,159-161,"2 000,00 €",,256
CA,Douai,15/01035,dommages-intérêts,"55-56,78-83",principe de responsabilité pour trouble anormal de voisinage,,"4 000,00 €",,,,accepte,159-161,"1 500,00 €",,256
CA,Douai,15/01035,dommages-intérêts,64-75,principe de responsabilité pour trouble anormal de voisinage,,"6 000,00 €",,,,rejette,149-153,"0,00 €",,256
CA,Douai,15/05759,dommages-intérêts,"83-90,113-114",principe de responsabilité pour trouble anormal de voisinage,,"62 018,00 €",,,,accepte,145-181,"62 018,00 €",,257
CA,Douai,15/01092,liquidation d'astreinte,98-100,principe de responsabilité pour trouble anormal de voisinage,,"77 600,00 €",,,,rejette,189-192,"0,00 €",,258
CA,Poitiers,15/02119,dommages-intérêts,"82,115,116",principe de responsabilité pour trouble anormal de voisinage,110-114,"16 000,00 €",117,Demandeur initial,78-82,rejette,"228-230,237-238","0,00 €",x,259
CA,Poitiers,15/02119,dommages-intérêts,"82,115,116",principe de responsabilité pour trouble anormal de voisinage,110-114,"600,00 €",118,Demandeur initial,78-82,rejette,"228-230,237-238","0,00 €",x,259
CA,Poitiers,15/02119,dommages-intérêts,"82,115,116",principe de responsabilité pour trouble anormal de voisinage,110-114,"150,00 €",119,Demandeur initial,78-82,rejette,"228-230,237-238","0,00 €",x,259
CA,Poitiers,15/02119,dommages-intérêts,"82,115,116",principe de responsabilité pour trouble anormal de voisinage,110-114,"300,00 €",120,Demandeur initial,78-82,rejette,"228-230,237-238","0,00 €",x,259
CA,Poitiers,15/02119,dommages-intérêts,"82,115,116",principe de responsabilité pour trouble anormal de voisinage,110-114,"400,00 €",121,Demandeur initial,78-82,rejette,"228-230,237-238","0,00 €",x,259
CA,Poitiers,15/02119,dommages-intérêts,"82,115,116",principe de responsabilité pour trouble anormal de voisinage,110-114,"500,00 €",122,Demandeur initial,78-82,rejette,"228-230,237-238","0,00 €",x,259
CA,Poitiers,15/02119,dommages-intérêts,"82,115,116",principe de responsabilité pour trouble anormal de voisinage,110-114,"12 818,00 €",123,Demandeur initial,78-82,rejette,"228-230,237-238","0,00 €",x,259
